m_res,m_mut,fitness
1e-06,1e-06,0
1e-06,1.325711365590108e-06,7.20605130314143e-08
1e-06,1.757510624854793e-06,5.690192663396032e-07
1e-06,2.3299518105153717e-06,6.190843599969105e-05
1e-06,3.0888435964774785e-06,0.00018509757416680195
1e-06,4.094915062380427e-06,0.0003222653817253939
1e-06,5.428675439323859e-06,0.0004739862744109483
1e-06,7.196856730011514e-06,0.0006404468686889281
1e-06,9.540954763499944e-06,0.0008209844504765844
1e-06,1.2648552168552958e-05,0.0010145073506020257
1e-06,1.67683293681101e-05,0.001220285239098889
1e-06,2.2229964825261955e-05,0.0014386728082849745
1e-06,2.94705170255181e-05,0.0016715885521728588
1e-06,3.906939937054621e-05,0.0019226561798225453
1e-06,5.1794746792312125e-05,0.0021968658115164006
1e-06,6.866488450042999e-05,0.0024995472561149617
1e-06,9.102981779915228e-05,0.002834485560448427
1e-06,0.00012067926406393288,0.003201905899585686
1e-06,0.00015998587196060574,0.0035980121447525336
1e-06,0.00021209508879201905,0.004016323589094113
1e-06,0.0002811768697974231,0.0044494640191320226
1e-06,0.0003727593720314938,0.004890516061723706
1e-06,0.0004941713361323833,0.0053337975568080636
1e-06,0.0006551285568595509,0.005774994523444757
1e-06,0.000868511373751352,0.006209733099635752
1e-06,0.0011513953993264468,0.0066306413608892625
1e-06,0.0015264179671752333,0.007026858979121029
1e-06,0.0020235896477251575,0.007387290909181917
1e-06,0.0026826957952797246,0.007703193251553603
1e-06,0.0035564803062231283,0.00796802106192937
1e-06,0.004714866363457394,0.008175314612576067
1e-06,0.0062505519252739694,0.008316171905682405
1e-06,0.008286427728546842,0.00837809268143619
1e-06,0.010985411419875572,0.008345133862738953
1e-06,0.014563484775012445,0.008197860143496938
1e-06,0.019306977288832496,0.007912338725170272
1e-06,0.025595479226995333,0.0074597801843709855
1e-06,0.0339322177189533,0.006810756443376552
1e-06,0.04498432668969444,0.005948512686356748
1e-06,0.059636233165946365,0.004895013214447959
1e-06,0.07906043210907701,0.003744652340632126
1e-06,0.10481131341546852,0.002662390695606728
1e-06,0.1389495494373136,0.001781066684646302
1e-06,0.18420699693267165,0.0010952738047592463
1e-06,0.244205309454865,0.000511406762354021
1e-06,0.323745754281764,-6.46436078451391e-05
1e-06,0.42919342601287785,-0.0007076519066146556
1e-06,0.5689866029018293,-0.0014839681235382584
1e-06,0.7543120063354607,-0.0024635679446123105
1e-06,1.0,-0.0037290553705021773
1.325711365590108e-06,1e-06,-3.2010826621435887e-09
1.325711365590108e-06,1.325711365590108e-06,0
1.325711365590108e-06,1.757510624854793e-06,9.634792069014504e-08
1.325711365590108e-06,2.3299518105153717e-06,7.526906615415846e-07
1.325711365590108e-06,3.0888435964774785e-06,6.19539133694228e-05
1.325711365590108e-06,4.094915062380427e-06,0.00018487692692452904
1.325711365590108e-06,5.428675439323859e-06,0.0003219062730540452
1.325711365590108e-06,7.196856730011514e-06,0.0004735519942917409
1.325711365590108e-06,9.540954763499944e-06,0.0006400501806734807
1.325711365590108e-06,1.2648552168552958e-05,0.0008208753107147365
1.325711365590108e-06,1.67683293681101e-05,0.0010151953564177289
1.325711365590108e-06,2.2229964825261955e-05,0.00122269907002825
1.325711365590108e-06,2.94705170255181e-05,0.0014443243524589885
1.325711365590108e-06,3.906939937054621e-05,0.001682656576918675
1.325711365590108e-06,5.1794746792312125e-05,0.001941868090675142
1.325711365590108e-06,6.866488450042999e-05,0.00222705475959126
1.325711365590108e-06,9.102981779915228e-05,0.0025427643934311083
1.325711365590108e-06,0.00012067926406393288,0.002890876843147799
1.325711365590108e-06,0.00015998587196060574,0.003269221886142021
1.325711365590108e-06,0.00021209508879201905,0.0036721578690260912
