m_res,m_mut,fitness
1e-06,1e-06,0
1e-06,1.325711365590108e-06,7.68016951025758e-08
1e-06,1.757510624854793e-06,3.6486229481353243e-07
1e-06,2.3299518105153717e-06,9.903551859425902e-05
1e-06,3.0888435964774785e-06,0.00033359022889375414
1e-06,4.094915062380427e-06,0.0006166225068102831
1e-06,5.428675439323859e-06,0.0009342863191642356
1e-06,7.196856730011514e-06,0.0012795944865053115
1e-06,9.540954763499944e-06,0.0016497777795787688
1e-06,1.2648552168552958e-05,0.0020429636689033026
1e-06,1.67683293681101e-05,0.0024572076679667907
1e-06,2.2229964825261955e-05,0.002890485635135558
1e-06,2.94705170255181e-05,0.003341136655138451
1e-06,3.906939937054621e-05,0.003808778490724174
1e-06,5.1794746792312125e-05,0.004295387031058285
1e-06,6.866488450042999e-05,0.004805862792535566
1e-06,9.102981779915228e-05,0.0053473859052749215
1e-06,0.00012067926406393288,0.005927649622205631
1e-06,0.00015998587196060574,0.006552787102486936
1e-06,0.00021209508879201905,0.007224180495412233
1e-06,0.0002811768697974231,0.007935260537349527
1e-06,0.0003727593720314938,0.008673748072909016
1e-06,0.0004941713361323833,0.009427036819892268
1e-06,0.0006551285568595509,0.010184535311356635
1e-06,0.000868511373751352,0.010936555365171838
1e-06,0.0011513953993264468,0.011671212763529294
1e-06,0.0015264179671752333,0.012372674353276165
1e-06,0.0020235896477251575,0.01302378809491702
1e-06,0.0026826957952797246,0.01360955582078086
1e-06,0.0035564803062231283,0.014117368488948111
1e-06,0.004714866363457394,0.014534871089201326
1e-06,0.0062505519252739694,0.014847144452206777
1e-06,0.008286427728546842,0.015032915699233
1e-06,0.010985411419875572,0.01506062314047193
1e-06,0.014563484775012445,0.014886976185557822
1e-06,0.019306977288832496,0.01445849121366598
1e-06,0.025595479226995333,0.013716613365033365
1e-06,0.0339322177189533,0.012609773077137263
1e-06,0.04498432668969444,0.011117020631829731
1e-06,0.059636233165946365,0.009288859240959499
1e-06,0.07906043210907701,0.007299074895028181
1e-06,0.10481131341546852,0.0054426632982175855
1e-06,0.1389495494373136,0.00396755473688479
1e-06,0.18420699693267165,0.002885945839257456
1e-06,0.244205309454865,0.0020516530901136727
1e-06,0.323745754281764,0.0013156547684842932
1e-06,0.42919342601287785,0.0005672653391191628
1e-06,0.5689866029018293,-0.00028076499312282223
1e-06,0.7543120063354607,-0.0013104864999692353
1e-06,1.0,-0.0026120983930836327
1.325711365590108e-06,1e-06,-1.1727165817734549e-09
1.325711365590108e-06,1.325711365590108e-06,0
1.325711365590108e-06,1.757510624854793e-06,1.0333188802550912e-07
1.325711365590108e-06,2.3299518105153717e-06,6.388680104586523e-07
1.325711365590108e-06,3.0888435964774785e-06,9.943469835521537e-05
1.325711365590108e-06,4.094915062380427e-06,0.00033403525557944655
1.325711365590108e-06,5.428675439323859e-06,0.0006175686364172795
1.325711365590108e-06,7.196856730011514e-06,0.0009361174526855073
1.325711365590108e-06,9.540954763499944e-06,0.001282827824969614
1.325711365590108e-06,1.2648552168552958e-05,0.0016550627138130437
1.325711365590108e-06,1.67683293681101e-05,0.0020509789723381416
1.325711365590108e-06,2.2229964825261955e-05,0.0024685226918843826
1.325711365590108e-06,2.94705170255181e-05,0.0029055803083349275
1.325711365590108e-06,3.906939937054621e-05,0.003360746484827807
1.325711365590108e-06,5.1794746792312125e-05,0.003834467148272337
1.325711365590108e-06,6.866488450042999e-05,0.004329985658403244
1.325711365590108e-06,9.102981779915228e-05,0.004853274921204022
1.325711365590108e-06,0.00012067926406393288,0.005411566901548777
1.325711365590108e-06,0.00015998587196060574,0.006011379459543146
1.325711365590108e-06,0.00021209508879201905,0.006656258754413561
1.325711365590108e-06,0.0002811768697974231,0.007343188807589547
1.325711365590108e-06,0.0003727593720314938,0.008061749520298107
1.325711365590108e-06,0.0004941713361323833,0.008798758500918425
1.325711365590108e-06,0.0006551285568595509,0.009542375435282227
1.325711365590108e-06,0.000868511373751352,0.010282292698683979
1.325711365590108e-06,0.0011513953993264468,0.011007101911920987
1.325711365590108e-06,0.0015264179671752333,0.011701793176739096
1.325711365590108e-06,0.0020235896477251575,0.01234926888039739
1.325711365590108e-06,0.0026826957952797246,0.012933982224646085
1.325711365590108e-06,0.0035564803062231283,0.01344288426386085
1.325711365590108e-06,0.004714866363457394,0.013863595253936205
1.325711365590108e-06,0.0062505519252739694,0.014181601327936028
1.325711365590108e-06,0.008286427728546842,0.014376437108065389
1.325711365590108e-06,0.010985411419875572,0.014417706538187048
1.325711365590108e-06,0.014563484775012445,0.014263598821381947
1.325711365590108e-06,0.019306977288832496,0.013862490124435127
1.325711365590108e-06,0.025595479226995333,0.013158137946191863
1.325711365590108e-06,0.0339322177189533,0.012101520628952029
1.325711365590108e-06,0.04498432668969444,0.010673624293332394
1.325711365590108e-06,0.059636233165946365,0.008924175802228183
1.325711365590108e-06,0.07906043210907701,0.00701985379616324
1.325711365590108e-06,0.10481131341546852,0.005240540291866615
1.325711365590108e-06,0.1389495494373136,0.0038202979969135967
1.325711365590108e-06,0.18420699693267165,0.002771519500554951
1.325711365590108e-06,0.244205309454865,0.001956219900303073
1.325711365590108e-06,0.323745754281764,0.0012316999000637043
1.325711365590108e-06,0.42919342601287785,0.0004906244067268682
1.325711365590108e-06,0.5689866029018293,-0.0003525406700379262
1.325711365590108e-06,0.7543120063354607,-0.001378919352780339
1.325711365590108e-06,1.0,-0.0026781788088472403
1.757510624854793e-06,1e-06,2.5777013087976995e-08
1.757510624854793e-06,1.325711365590108e-06,-1.7155403800288598e-09
1.757510624854793e-06,1.757510624854793e-06,0
1.757510624854793e-06,2.3299518105153717e-06,1.3838242238687536e-07
1.757510624854793e-06,3.0888435964774785e-06,9.923095638717264e-07
1.757510624854793e-06,4.094915062380427e-06,9.990507153625679e-05
1.757510624854793e-06,5.428675439323859e-06,0.0003345147298684563
1.757510624854793e-06,7.196856730011514e-06,0.0006186012712952097
1.757510624854793e-06,9.540954763499944e-06,0.0009381331791238317
1.757510624854793e-06,1.2648552168552958e-05,0.0012863796321393546
1.757510624854793e-06,1.67683293681101e-05,0.0016608016482953464
1.757510624854793e-06,2.2229964825261955e-05,0.0020595361147344358
1.757510624854793e-06,2.94705170255181e-05,0.0024804204983301156
1.757510624854793e-06,3.906939937054621e-05,0.002921383370196594
1.757510624854793e-06,5.1794746792312125e-05,0.0033815279007865734
1.757510624854793e-06,6.866488450042999e-05,0.003862354941106893
1.757510624854793e-06,9.102981779915228e-05,0.004368297108020594
1.757510624854793e-06,0.00012067926406393288,0.004905796506338933
1.757510624854793e-06,0.00015998587196060574,0.005481339353632258
1.757510624854793e-06,0.00021209508879201905,0.006099604263126287
1.757510624854793e-06,0.0002811768697974231,0.0067606328746573656
1.757510624854793e-06,0.0003727593720314938,0.007456935418734638
1.757510624854793e-06,0.0004941713361323833,0.008175753537978834
1.757510624854793e-06,0.0006551285568595509,0.008904131154124457
1.757510624854793e-06,0.000868511373751352,0.009630845402986471
1.757510624854793e-06,0.0011513953993264468,0.010344641362328556
1.757510624854793e-06,0.0015264179671752333,0.011031359136688417
1.757510624854793e-06,0.0020235896477251575,0.011674215016201837
1.757510624854793e-06,0.0026826957952797246,0.012257215300335871
1.757510624854793e-06,0.0035564803062231283,0.01276680355325755
1.757510624854793e-06,0.004714866363457394,0.01319047710751178
1.757510624854793e-06,0.0062505519252739694,0.013514063561179597
1.757510624854793e-06,0.008286427728546842,0.013717886347489699
1.757510624854793e-06,0.010985411419875572,0.013772727200734292
1.757510624854793e-06,0.014563484775012445,0.013638275744018222
1.757510624854793e-06,0.019306977288832496,0.013264784602498417
1.757510624854793e-06,0.025595479226995333,0.012598324738149182
1.757510624854793e-06,0.0339322177189533,0.011592384121165544
1.757510624854793e-06,0.04498432668969444,0.010229774943545236
1.757510624854793e-06,0.059636233165946365,0.008559286359222708
1.757510624854793e-06,0.07906043210907701,0.006740453969025777
1.757510624854793e-06,0.10481131341546852,0.005038223470649098
1.757510624854793e-06,0.1389495494373136,0.0036729206857942136
1.757510624854793e-06,0.18420699693267165,0.002657056184319736
