m_res,m_mut,fitness
1e-06,1e-06,0
1e-06,1.325711365590108e-06,9.342653301962104e-08
1e-06,1.757510624854793e-06,4.9223223877486454e-08
1e-06,2.3299518105153717e-06,6.0359892685391776e-05
1e-06,3.0888435964774785e-06,0.00022313420689852294
1e-06,4.094915062380427e-06,0.0004142676356410265
1e-06,5.428675439323859e-06,0.0006339674840732652
1e-06,7.196856730011514e-06,0.0008788886739671431
1e-06,9.540954763499944e-06,0.001143844134165902
1e-06,1.2648552168552958e-05,0.0014246840394484194
1e-06,1.67683293681101e-05,0.0017196751295505436
1e-06,2.2229964825261955e-05,0.0020289567695262333
1e-06,2.94705170255181e-05,0.0023531528623877297
1e-06,3.906939937054621e-05,0.0026938008315346967
1e-06,5.1794746792312125e-05,0.0030544836643065644
1e-06,6.866488450042999e-05,0.0034404647107756296
1e-06,9.102981779915228e-05,0.0038573821570128835
1e-06,0.00012067926406393288,0.004309874374226114
1e-06,0.00015998587196060574,0.004800387477066363
1e-06,0.00021209508879201905,0.005328442259030792
1e-06,0.0002811768697974231,0.0058908653164507765
1e-06,0.0003727593720314938,0.006482584630172131
1e-06,0.0004941713361323833,0.007096690292811175
1e-06,0.0006551285568595509,0.007723779534747996
1e-06,0.000868511373751352,0.008352126977624505
1e-06,0.0011513953993264468,0.008969037136983151
1e-06,0.0015264179671752333,0.009561936954819217
1e-06,0.0020235896477251575,0.010118641732498272
1e-06,0.0026826957952797246,0.010627507462094917
1e-06,0.0035564803062231283,0.011077155947331673
1e-06,0.004714866363457394,0.011455012869533645
1e-06,0.0062505519252739694,0.011745259231890116
1e-06,0.008286427728546842,0.011927174250325278
1e-06,0.010985411419875572,0.01197403212305755
1e-06,0.014563484775012445,0.011852454878820317
1e-06,0.019306977288832496,0.011522549248409748
1e-06,0.025595479226995333,0.010940156223929817
1e-06,0.0339322177189533,0.010064249576968274
1e-06,0.04498432668969444,0.008874749062010774
1e-06,0.059636233165946365,0.007407251045217418
1e-06,0.07906043210907701,0.005799781349901396
1e-06,0.10481131341546852,0.0042914059835078055
1e-06,0.1389495494373136,0.0030786796486169804
1e-06,0.18420699693267165,0.002166601869280735
1e-06,0.244205309454865,0.0014360573322077328
1e-06,0.323745754281764,0.0007648214573046455
1e-06,0.42919342601287785,5.8553327732168254e-05
1e-06,0.5689866029018293,-0.0007610390203212884
1e-06,0.7543120063354607,-0.0017710178770741606
1e-06,1.0,-0.0030586972858060012
1.325711365590108e-06,1e-06,-1.5613586094435045e-08
1.325711365590108e-06,1.325711365590108e-06,0
1.325711365590108e-06,1.757510624854793e-06,1.1275000196119562e-07
1.325711365590108e-06,2.3299518105153717e-06,2.484143708880509e-07
1.325711365590108e-06,3.0888435964774785e-06,6.130172231200581e-05
1.325711365590108e-06,4.094915062380427e-06,0.0002239726055845507
1.325711365590108e-06,5.428675439323859e-06,0.0004154210679686225
1.325711365590108e-06,7.196856730011514e-06,0.0006356405443548128
1.325711365590108e-06,9.540954763499944e-06,0.0008813154104307229
1.325711365590108e-06,1.2648552168552958e-05,0.0011474045201688154
1.325711365590108e-06,1.67683293681101e-05,0.0014300661208162674
1.325711365590108e-06,2.2229964825261955e-05,0.001727902942376385
1.325711365590108e-06,2.94705170255181e-05,0.0020411518941556767
1.325711365590108e-06,3.906939937054621e-05,0.002370600859039605
1.325711365590108e-06,5.1794746792312125e-05,0.0027184176453190225
1.325711365590108e-06,6.866488450042999e-05,0.003088830767757698
1.325711365590108e-06,9.102981779915228e-05,0.0034872509938927887
1.325711365590108e-06,0.00012067926406393288,0.003918804302804531
1.325711365590108e-06,0.00015998587196060574,0.004386990809856752
1.325711365590108e-06,0.00021209508879201905,0.004892666307583686
1.325711365590108e-06,0.0002811768697974231,0.005433753611509452
