m_res,m_mut,fitness
1e-06,1e-06,0
1e-06,1.325711365590108e-06,5.5403120002160134e-08
1e-06,1.757510624854793e-06,1.448224892721839e-07
1e-06,2.3299518105153717e-06,5.510690154442592e-05
1e-06,3.0888435964774785e-06,0.0002002067510331803
1e-06,4.094915062380427e-06,0.00037621179132229143
1e-06,5.428675439323859e-06,0.0005829196532706661
1e-06,7.196856730011514e-06,0.0008172632433077716
1e-06,9.540954763499944e-06,0.0010745038135724929
1e-06,1.2648552168552958e-05,0.0013493497856922358
1e-06,1.67683293681101e-05,0.0016378680135958556
1e-06,2.2229964825261955e-05,0.001938518488361303
1e-06,2.94705170255181e-05,0.0022519885402136042
1e-06,3.906939937054621e-05,0.0025806901252536153
1e-06,5.1794746792312125e-05,0.0029280516707531445
1e-06,6.866488450042999e-05,0.003297864852154584
1e-06,9.102981779915228e-05,0.003693969036570357
1e-06,0.00012067926406393288,0.004119677657690737
1e-06,0.00015998587196060574,0.004576694877768087
1e-06,0.00021209508879201905,0.005064572811884589
1e-06,0.0002811768697974231,0.005580920455034742
1e-06,0.0003727593720314938,0.006121371152766261
1e-06,0.0004941713361323833,0.006679398703164111
1e-06,0.0006551285568595509,0.007247097110025824
1e-06,0.000868511373751352,0.007816174222720833
1e-06,0.0011513953993264468,0.008377562950588597
1e-06,0.0015264179671752333,0.008920752777566338
1e-06,0.0020235896477251575,0.009434174586615872
1e-06,0.0026826957952797246,0.009905702900974743
1e-06,0.0035564803062231283,0.010322854504611937
1e-06,0.004714866363457394,0.010672607728107755
1e-06,0.0062505519252739694,0.010940505482839058
1e-06,0.008286427728546842,0.011108933057561754
1e-06,0.010985411419875572,0.011154863229571084
1e-06,0.014563484775012445,0.011048006008825294
1e-06,0.019306977288832496,0.010750571810986579
1e-06,0.025595479226995333,0.010219755348516215
1e-06,0.0339322177189533,0.009415010241356325
1e-06,0.04498432668969444,0.008314689808234993
1e-06,0.059636233165946365,0.006948781847117769
1e-06,0.07906043210907701,0.005443904170606533
1e-06,0.10481131341546852,0.0040239537738282795
1e-06,0.1389495494373136,0.0028757830403028477
