m_res,m_mut
0.0008975480696421892,0.0008975480696421892
0,0.0
0.0037923859943633474,0.02040816326530612
0.004052326228634733,0.04081632653061224
0.0037416521414586255,0.061224489795918366
0.0032282355375363543,0.08163265306122448
0.002656026902163197,0.1020408163265306
0.0020975917801707763,0.12244897959183673
0.0015931452641120632,0.14285714285714285
0.0011641371881153828,0.16326530612244897
0.0008187925727447439,0.18367346938775508
0.0005551600632638692,0.2040816326530612
0.0003639249023136102,0.22448979591836732
0.00023162307743689354,0.24489795918367346
0.00014383186312694906,0.26530612244897955
8.756920776986764e-05,0.2857142857142857
5.2499025490055216e-05,0.3061224489795918
3.110206081145043e-05,0.32653061224489793
1.8257923678727165e-05,0.3469387755102041
1.0642107890726207e-05,0.36734693877551017
6.1684746584161436e-06,0.3877551020408163
3.559521741113493e-06,0.4081632653061224
2.0466151734797327e-06,0.42857142857142855
1.1732486257326913e-06,0.44897959183673464
6.709156565347345e-07,0.4693877551020408
3.828581706288587e-07,0.4897959183673469
2.1808908009329736e-07,0.5102040816326531
1.2404043335109958e-07,0.5306122448979591
7.045521097954758e-08,0.5510204081632653
3.997188264098259e-08,0.5714285714285714
2.2654079380416755e-08,0.5918367346938775
1.2827475928061383e-08,0.6122448979591836
7.2577098142874065e-09,0.6326530612244897
4.103273970463361e-09,0.6530612244897959
2.318404840142029e-09,0.673469387755102
1.3091059394226173e-09,0.6938775510204082
7.387690743967852e-10,0.7142857142857142
4.16715996307977e-10,0.7346938775510203
2.3494826318596906e-10,0.7551020408163265
1.3215169107113562e-10,0.7755102040816326
7.469413986270423e-11,0.7959183673469387
4.2200188076818175e-11,0.8163265306122448
2.3332068927627487e-11,0.836734693877551
1.3645457175989946e-11,0.8571428571428571
7.857135991436943e-12,0.8775510204081632
4.4680129249274e-12,0.8979591836734693
1.6976762144160889e-12,0.9183673469387754
1.7076227032198259e-12,0.9387755102040816
1.7447449359392747e-12,0.9591836734693877
1.7818671686586502e-12,0.9795918367346939
1.2502415620696928e-05,8.975480696421893e-06
1.58533976526171e-05,1.1377753992770319e-05
2.0096032540313504e-05,1.4422991959818704e-05
2.5463666580535628e-05,1.828328308075362e-05
3.224837879599502e-05,2.317677505071383e-05
4.081436703926274e-05,2.9380002452450664e-05
5.16135642692653e-05,3.7243513914996613e-05
6.520332351937101e-05,4.721168185678101e-05
8.226562703707367e-05,5.9847814275343826e-05
0.00010362661197731805,7.586598766808404e-05
0.00013027424086355487,9.617139998419455e-05
0.00016337057509751941,0.00012191152398073714
0.00020425339840723624,0.00015454095169404233
0.00025442004010721653,0.00019590359443192579
0.00031548473092856945,0.0002483368834645789
0.0003891006251208271,0.0003148038598665419
0.00047684026240604586,0.0003990606179971995
0.0005800354566978799,0.0005058685649655594
0.0006995905027244675,0.0006412634910070487
0.000835800520622877,0.0008128966561236005
0.0009882257389432025,0.0010304671680266726
0.001155685119209471,0.0013062700853568947
0.0013364290987542694,0.0016558912198686795
0.0015285216982559662,0.0020990879013271057
0.0017303982899042987,0.0026609054777446436
0.001941461018505584,0.003373092645150785
0.0021624339331135917,0.00427589558814918
0.002395077653562909,0.005420332319374031
0.002640921698802826,0.006871075742326016
0.0028991207513010533,0.008710108361443274
0.0031642825117850952,0.011041355169576656
0.0034254733678541972,0.013996556520513386
0.0036668863806107376,0.017742712866597992
0.0038692650791175382,0.02249152206867201
0.004010642439591734,0.02851134258718099
0.0040661202192055655,0.036142358602571804
0.004008015608735351,0.04581580405631995
0.003808011357837771,0.05807833197631269
0.003442421502865443,0.07362290621385464
0.0029018752389669065,0.09332796130551269
0.002207541355587202,0.11830704341041323
0.0014343571678310193,0.14997173756635626
0.0007271266150433077,0.1901114373270891
0.00025305172372632996,0.24099446461757712
5.33399767764888e-05,0.30549625415954396
6.250674713884813e-06,0.38726184625696897
3.712719535397754e-07,0.4909118705201348
9.68902923838188e-09,0.6223036608095506
9.058994360697856e-11,0.788862257184073
