m_res1,m_res2,dfit1,dfit2
1e-06,0.03162277660168379,-0.19978259135802579,-0.0026703803235501866
5.254160133828896e-06,0.03162277660168379,-0.19885481178751657,-0.0026740760060905626
2.760619871191688e-05,0.03162277660168379,-0.19392941366614885,-0.0026895040026444703
0.00014504738871871258,0.03162277660168379,-0.16951302655836015,-0.0027055731169995855
0.0007621022073218427,0.03162277660168379,-0.10432232442139644,-0.002190857019239437
1e-06,0.001,-0.19973235846356233,0.18439773441584736
5.254160133828896e-06,0.001,-0.19859164649830066,0.18311247913244805
2.760619871191688e-05,0.001,-0.1925472447865829,0.17637136133676198
0.00014504738871871258,0.001,-0.15994431214769264,0.14228010877098943
0.0007621022073218427,0.001,-0.025493211945203265,0.023557623464421584
1e-06,3.1622776601683795e-05,-0.19569816597279582,0.5538516165180205
5.254160133828896e-06,3.1622776601683795e-05,-0.1753237678676499,0.41616066368524085
