m_res1,m_res2,dfit2
0,0.001992026418262937,-8.889552505549985e-08
1e-06,0.00199240996229945,-6.672638244897062e-08
1.248340893997729e-06,0.0019925046126108726,-5.518458953689388e-08
1.558354987627046e-06,0.0019926224813332514,8.52293225144059e-08
1.945358258420167e-06,0.001992772450821514,6.9809609481908805e-09
2.428470267462091e-06,0.0019929585103282666,-5.6343222188502744e-08
3.031558744730531e-06,0.001993191560673238,-6.843944898653627e-08
3.7844187536035363e-06,0.0019934810456763655,-3.457759252531918e-08
4.72424469013521e-06,0.001993844401293882,-4.701434689690514e-08
5.8974678399474e-06,0.00199429930331681,-9.828169365581432e-08
7.362050275642793e-06,0.001994867282643503,-2.9483106087818746e-08
9.190348422752152e-06,0.001995579221390105,-1.4713978733384291e-09
1.1472687766209017e-05,0.0019964709182617637,9.542731459630648e-08
1.4321825302626174e-05,0.0019975911463899166,7.978695286931452e-08
1.7878520201959617e-05,0.0019989993694063696,-1.647629515462985e-08
2.2318487892270728e-05,0.002000768960864003,3.858420744365517e-08
2.7861081128114673e-05,0.0020029989731082235,4.248251056492715e-08
3.4780126923213925e-05,0.0020058161496756067,-4.570454258110624e-08
4.341745473667936e-05,0.0020093823584800777,-7.108278809313608e-08
5.419978426109213e-05,0.002013910724565392,-6.78682370720879e-08
6.76598071389758e-05,0.0020196814804983336,-6.680311685773474e-08
8.44625041315828e-05,0.002027063801851528,-3.4524683459363684e-08
0.00010543799791690696,0.002036552332512786,-7.63503843482286e-08
0.00013162256458092218,0.0020488016034033844,4.222750621381194e-08
0.00016430982993922204,0.0020646939679220063,-1.1453511750201491e-08
0.00020511467999894306,0.002085401509173678,-3.012694260703394e-08
0.00025605304300193845,0.002112469632694108,5.769083127905533e-08
0.00031964148461187847,0.002147918422945238,-3.2655302070475173e-08
0.0003990215366591533,0.0021943243752387902,4.757305660619608e-08
0.000498114901797435,0.002255112067079924,3.894801149483219e-08
0.0006218172018234004,0.0023355742151717753,-6.918424171936504e-08
