m_res,m_mut
0.004516360627954166,0.004516360627954166
,0.0
0.007473054086206793,0.02040816326530612
0.00749351081435068,0.04081632653061224
0.006522733287763838,0.061224489795918366
0.005309753927450997,0.08163265306122448
0.004122464755602067,0.1020408163265306
0.003074488107839331,0.12244897959183673
0.0022094621199367434,0.14285714285714285
0.0015331111149051969,0.16326530612244897
0.0010293553944620297,0.18367346938775508
0.0006706326533384845,0.2040816326530612
0.00042547347233266083,0.22448979591836732
0.00026391507348275854,0.24489795918367346
0.00016069493175452758,0.26530612244897955
9.639874066519429e-05,0.2857142857142857
5.7148922912595375e-05,0.3061224489795918
3.356464444913652e-05,0.32653061224489793
1.956702032451083e-05,0.3469387755102041
1.1338983396204192e-05,0.36734693877551017
6.5391312281059545e-06,0.3877551020408163
3.756132304918095e-06,0.4081632653061224
2.150462521335921e-06,0.42857142857142855
1.227795180236243e-06,0.44897959183673464
6.993727870376179e-07,0.4693877551020408
3.975849247895967e-07,0.4897959183673469
2.2563741069313273e-07,0.5102040816326531
1.2786508340212712e-07,0.5306122448979591
7.236600017698036e-08,0.5510204081632653
4.0909647984198283e-08,0.5714285714285714
2.310376369994899e-08,0.5918367346938775
1.3036493151832017e-08,0.6122448979591836
7.350330250625709e-09,0.6326530612244897
4.141319967896504e-09,0.6530612244897959
2.331876481266721e-09,0.673469387755102
1.3122633279242636e-09,0.6938775510204082
7.380366705971872e-10,0.7142857142857142
4.1490307629147583e-10,0.7346938775510203
2.3314344862474135e-10,0.7551020408163265
1.3080858189054023e-10,0.7755102040816326
7.365520371481937e-11,0.7959183673469387
4.1527295553767706e-11,0.8163265306122448
2.2596071431784666e-11,0.836734693877551
1.3473070179341211e-11,0.8571428571428571
7.600943454056722e-12,0.8775510204081632
4.3201644444061545e-12,0.8979591836734693
1.6705004705746559e-12,0.9183673469387754
1.707622703293552e-12,0.9387755102040816
1.7447449360123937e-12,0.9591836734693877
1.781867168731178e-12,0.9795918367346939
0.00012200525237417128,4.5163606279541695e-05
0.0001494015487378932,5.539446803901471e-05
0.00018277639248752886,6.794291559297865e-05
0.0002233483063021643,8.33339490871791e-05
0.0002725415736150505,0.00010221149636949386
0.0003319996797629916,0.0001253653535507098
0.00040358785059414895,0.0001537642283807245
0.0004893776372769989,0.00018859626890419865
0.0005916044877124852,0.00023131877302772977
0.0007125878089603926,0.0002837191587402776
0.0008546033759092176,0.0003479897458501609
0.0010197019418101945,0.00042681947794619786
0.0012094780377088152,0.0005235064220332125
0.0014248113726324009,0.0006420957525855043
0.0016656300972502777,0.0007875489929752737
0.0019307755869409087,0.0009659515949745748
0.002218069595313371,0.00118476754101217
0.002524675074124376,0.0014531516211979242
0.002847776103220989,0.0017823324501160202
0.0031854642644183525,0.002186082247988558
0.0035375287378427364,0.0026812930408463484
0.0039056942457893684,0.0032886833866868706
0.004292889587886877,0.004033665195526838
0.004701471529307427,0.004947406909242166
0.0051308682355660825,0.006068137522360781
0.005575527944296412,0.007442746001242734
0.006024080847795577,0.009128743017917587
0.006460100414026082,0.011196667073317377
0.006863872069632279,0.013733035676943341
0.007213839741968289,0.016843965053997153
0.0074868012770621965,0.020659609820763727
0.007657207716480087,0.025339608374746133
0.007696758124994638,0.031079761823002677
0.0075753065524008035,0.03812022588073058
0.007263622435202312,0.04675555847157167
0.006738373619398573,0.05734704339969821
0.005989744057253228,0.07033780568970119
0.005031983396223289,0.08627135098769889
0.00391621151586508,0.10581430467246561
0.0027416010758357003,0.12978430203224553
0.001653822389451314,0.15918419637246053
0.0008101734122819703,0.19524401624820817
0.000300234009923814,0.23947242722221312
7.862260923337576e-05,0.2937198511978697
1.3714062100955017e-05,0.36025588410495885
1.4931836737908445e-06,0.44186425092805137
9.318852849198668e-08,0.5419592707924363
2.982349685531932e-09,0.664728704757099
4.263059487546433e-11,0.8153089627601922
